AggressorTime,RequestTime,ExecID,LastQty,AggressorSide,LastPx,RestingHiddenQty,volume_bar_label
1586156635288902144,1586156635288891136,1586156635288906155,660000,49,15576000000,0,70
1586156635364654080,1586156635364636416,1586156635364711880,500000,49,15569999999,0,70
1586156635675825152,1586156635675813888,1586156635675843616,239999,50,15569999999,0,71
1586156640091082240,1586156640091069184,1586156640091086008,700000,49,15582000000,0,71
1586156643091116032,1586156643091099648,1586156643091120915,2060000,49,15584000000,0,71
1586156643091382784,1586156643091374080,1586156643091584606,730000,49,15586000000,0,72
1586156647139684352,1586156647139668480,1586156647139688984,70000,49,15591999999,0,72
1586156647139753984,1586156647139745280,1586156647139760027,1200000,49,15591999999,0,72
1586156647630312448,1586156647630293760,1586156647630317092,10000000,50,15566000000,0,73
1586156648738882560,1586156648738873600,1586156648738886245,449999,49,15586000000,0,74
1586156649120146944,1586156649120135168,1586156649120151308,1180000,49,15594000000,0,74
1586156649792718336,1586156649792703744,1586156649792721273,1000000,50,15582000000,0,75
1586156649793029632,1586156649793018624,1586156649793100451,700000,50,15584000000,0,76
1586156649802239488,1586156649802229248,1586156649802243680,899999,49,15594000000,0,76
1586156649802315520,1586156649802291712,1586156649802319906,110000,49,15594000000,0,77
1586156650009702144,1586156650009690880,1586156650009706447,899999,49,15600000000,0,77
1586156651893094144,1586156651893079552,1586156651893098180,500000,50,15591999999,0,78
1586156654626935040,1586156654626918912,1586156654626940938,1000000,50,15591999999,0,78
1586156662715032320,1586156662715017728,1586156662715036375,59999,49,15610000000,0,79
1586156662715100160,1586156662715090432,1586156662715104904,1580000,49,15610000000,0,79
1586156662715817472,1586156662715808256,1586156662715821654,500000,49,15612000000,0,80
1586156662775149056,1586156662775139840,1586156662775153181,0,49,15616000000,0,80
1586156675936993792,1586156675936984576,1586156675936998805,500000,49,15618000000,0,80
1586156675936997888,1586156675936988672,1586156675937039230,500000,49,15618000000,0,81
1586156675936999936,1586156675936989184,1586156675937078178,170000,49,15618000000,0,81
1586156675937014016,1586156675937004544,1586156675937155242,830000,49,15619999999,0,81
1586156677908346880,1586156677908242944,1586156677908357202,6120000,50,15608000000,0,82
1586156677908498432,1586156677908450816,1586156677908612709,4000000,49,15608000000,0,83
1586156677908503552,1586156677908451328,1586156677908661643,1550000,49,15608000000,0,84
1586156677908538880,1586156677908468480,1586156677908880376,4550000,49,15608000000,0,85
1586156677908541184,1586156677908469504,1586156677908914103,7430000,49,15608000000,0,86
1586156677908546304,1586156677908494080,1586156677908961853,19220000,49,15608000000,0,87
1586156677908552960,1586156677908499456,1586156677909027177,959999,50,15606000000,0,88
1586156677908667392,1586156677908658688,1586156677909259689,7130000,49,15608000000,0,88
1586156677909094912,1586156677909085184,1586156677909662954,400000,50,15604000000,0,89
1586156677909744896,1586156677909736448,1586156677909925970,100000,50,15604000000,0,89
1586156677909841664,1586156677909830144,1586156677909989294,410000,50,15606000000,0,89
1586156677910018048,1586156677910006272,1586156677910065195,90000,50,15606000000,0,89
1586156678047385856,1586156678047372544,1586156678047390415,700000,49,15618000000,0,90
1586156678791124736,1586156678791115520,1586156678791129059,29999,50,15602000000,0,90
1586156678791190016,1586156678791181056,1586156678791207735,830000,50,15602000000,0,90
1586156678791281664,1586156678791271936,1586156678791404716,1160000,50,15600000000,0,91
1586156678791316992,1586156678791302656,1586156678791440673,410000,50,15600000000,0,92
1586156678791474944,1586156678791457536,1586156678791640929,10000,50,15600000000,0,92
1586156678795895808,1586156678795886336,1586156678795899212,500000,50,15597999999,0,92
1586156678795905536,1586156678795897600,1586156678795932053,390000,50,15597999999,0,92
1586156678796459520,1586156678796447232,1586156678796473567,630000,50,15597999999,0,93
1586156678796546816,1586156678796537344,1586156678796553237,160000,50,15597999999,0,93
1586156682357168384,1586156682357155840,1586156682357189470,700000,49,15604000000,0,93
1586156682900076800,1586156682900067584,1586156682900082474,150000,50,15600000000,0,94
1586156682900202240,1586156682900191232,1586156682900269017,460000,49,15604000000,0,94
1586156682900322560,1586156682900313344,1586156682900326555,1200000,49,15604000000,0,94
1586156683312108544,1586156683312094720,1586156683312111463,1850000,49,15606000000,0,95
1586156683312220160,1586156683312201216,1586156683312381238,400000,49,15610000000,0,96
1586156683374232320,1586156683374213120,1586156683374236695,700000,49,15616000000,0,96
1586156684637710080,1586156684637701376,1586156684637737691,50000,50,15612000000,0,97
1586156684637929984,1586156684637918720,1586156684637965537,899999,50,15612000000,0,97
1586156685013132544,1586156685013120256,1586156685013136539,1040000,49,15618000000,0,97
1586156685119925760,1586156685119915008,1586156685119930010,500000,50,15606000000,0,98
1586156685144043264,1586156685144033280,1586156685144047566,330000,50,15604000000,0,98
1586156685458899456,1586156685458882816,1586156685458955848,200000,49,15600000000,0,98
1586156689973474816,1586156689973458432,1586156689973479293,400000,49,15618000000,0,99
1586156689973541120,1586156689973531136,1586156689973548719,790000,49,15618000000,0,99
1586156689978603008,1586156689978593536,1586156689978606629,700000,50,15604000000,0,100
1586156698649336320,1586156698649315584,1586156698649417409,1500000,49,15600000000,0,100
1586156698649374208,1586156698649364736,1586156698649544393,40000,50,15600000000,0,101
1586156698649430016,1586156698649420544,1586156698649611485,890000,50,15600000000,0,101
1586156698649483520,1586156698649470976,1586156698649678263,449999,50,15600000000,0,101
1586156698649628160,1586156698649619968,1586156698649852346,420000,49,15612000000,0,102
1586156698649673984,1586156698649660416,1586156698649959116,119999,50,15600000000,0,102
1586156698656251136,1586156698656242688,1586156698656255190,150000,50,15600000000,0,102
1586156700704309760,1586156700704296448,1586156700704361079,600000,49,15602000000,0,102
1586156700704422144,1586156700704413184,1586156700704499928,100000,49,15602000000,0,103
1586156701221751808,1586156701221742592,1586156701221767489,330000,50,15590000000,0,103
1586156701221831680,1586156701221820416,1586156701221869325,550000,49,15594000000,0,103
1586156701221846528,1586156701221826560,1586156701221980951,260000,50,15588000000,0,103
1586156701222125568,1586156701222116096,1586156701222198031,500000,50,15588000000,0,104
1586156701222255616,1586156701222247424,1586156701222283574,700000,50,15588000000,0,104
1586156701223762944,1586156701223753216,1586156701223769773,810000,49,15591999999,0,105
1586156701230982656,1586156701230971392,1586156701230985725,1100000,49,15594000000,0,105
1586156702979491584,1586156702979481344,1586156702979495374,700000,49,15602000000,0,106
1586156702986573312,1586156702986563840,1586156702986576768,600000,49,15604000000,0,106
1586156703704585984,1586156703704575488,1586156703704590471,700000,49,15608000000,0,107
1586156703728124416,1586156703728115456,1586156703728128560,1000000,49,15618000000,0,107
1586156703728135424,1586156703728126720,1586156703728184370,410000,49,15618000000,0,108
1586156703728138496,1586156703728130048,1586156703728222722,350000,49,15619999999,0,108
1586156703728713728,1586156703728704000,1586156703728721103,0,49,15622000000,0,108
1586156703733701632,1586156703733692160,1586156703733704678,500000,49,15624000000,0,108
1586156708226747392,1586156708226734592,1586156708226751918,700000,50,15612000000,0,109
1586156708233470464,1586156708233461504,1586156708233497221,700000,49,15618000000,0,109
1586156708690287616,1586156708690278400,1586156708690335780,700000,49,15628000000,0,110
1586156712374756096,1586156712374744320,1586156712374760812,10000000,50,15606000000,0,110
1586156712381538560,1586156712381523968,1586156712381584572,460000,50,15616000000,0,111
1586156712381665280,1586156712381641984,1586156712381716464,1010000,50,15613999999,0,111
1586156712920892160,1586156712920883456,1586156712920896243,700000,50,15608000000,0,112
1586156712934124544,1586156712934110720,1586156712934128595,14460000,50,15586000000,0,112
1586156712934318080,1586156712934272256,1586156712934395814,1040000,49,15586000000,0,113
1586156712934329600,1586156712934273280,1586156712934471850,4000000,49,15586000000,0,114
1586156712934369280,1586156712934291456,1586156712934689021,500000,49,15586000000,0,115
1586156717190067456,1586156717190036736,1586156717190072245,500000,50,15586000000,0,115
1586156723880393216,1586156723880383744,1586156723880397114,1340000,49,15597999999,0,116
1586156723889608960,1586156723889597184,1586156723889612215,1790000,49,15600000000,0,117
1586156725338641664,1586156725338626816,1586156725338646399,20000000,49,15616000000,0,118
1586156725840842240,1586156725840811264,1586156725840846439,14440000,50,15588000000,0,119
1586156726692841216,1586156726692832256,1586156726692845411,3390000,49,15602000000,0,120
1586156726692936960,1586156726692906240,1586156726693020309,400000,49,15604000000,0,121
1586156728068930560,1586156728068918016,1586156728068934753,1010000,50,15604000000,0,121
1586156730283788288,1586156730283778816,1586156730283801160,250000,49,15608000000,0,122
1586156730283855360,1586156730283846400,1586156730283891284,500000,49,15608000000,0,122
1586156730464379392,1586156730464355328,1586156730464384387,3100000,50,15597999999,0,122
1586156730471524352,1586156730471514880,1586156730471528475,700000,50,15600000000,0,123
1586156730713376000,1586156730713362432,1586156730713380130,700000,50,15600000000,0,123
1586156733168139520,1586156733168126976,1586156733168145875,630000,50,15602000000,0,124
1586156734648581632,1586156734648572160,1586156734648586161,990000,49,15610000000,0,124
1586156736821402624,1586156736821393664,1586156736821406800,500000,49,15618000000,0,125
1586156736828078592,1586156736828070144,1586156736828084911,1000000,49,15622000000,0,125
1586156736828093952,1586156736828085760,1586156736828136228,500000,49,15622000000,0,126
1586156737482190848,1586156737482177280,1586156737482195565,100000,50,15613999999,0,126
1586156737534211072,1586156737534201856,1586156737534215292,320000,49,15624000000,0,126
1586156740036888320,1586156740036871168,1586156740036895894,20000,49,15630000000,0,126
1586156740036956672,1586156740036945408,1586156740036970519,1180000,49,15630000000,0,126
1586156740805840384,1586156740805826816,1586156740805876783,700000,49,15628000000,0,127
1586156744928814080,1586156744928799744,1586156744928820712,1000000,49,15630000000,0,127
1586156744928971520,1586156744928960512,1586156744928987689,400000,49,15630000000,0,128
1586156744928976640,1586156744928964096,1586156744929038794,260000,49,15630000000,0,128
1586156744929052160,1586156744929043968,1586156744929108180,430000,49,15630000000,0,128
1586156744929075456,1586156744929054720,1586156744929229926,780000,49,15630000000,0,129
1586156745505160960,1586156745505151744,1586156745505164504,5060000,49,15630000000,0,129
1586156745505257984,1586156745505248000,1586156745505361629,19070000,49,15630000000,0,130
1586156745505437184,1586156745505417728,1586156745505548756,1000000,49,15632000000,0,131
1586156745505440000,1586156745505418240,1586156745505584659,1810000,49,15632000000,0,132
1586156745505449216,1586156745505437440,1586156745505634042,150000,49,15632000000,0,133
1586156747566768640,1586156747566759680,1586156747566777855,460000,50,15622000000,0,133
1586156747566785280,1586156747566776832,1586156747566815978,1170000,50,15619999999,0,133
1586156748584060160,1586156748584050688,1586156748584064418,1220000,50,15616000000,0,134
1586156748584290816,1586156748584282112,1586156748584322704,1000000,50,15616000000,0,135
1586156748584304128,1586156748584294912,1586156748584358894,500000,50,15616000000,0,136
1586156748584724736,1586156748584715264,1586156748584729615,190000,50,15616000000,0,136
1586156748589924352,1586156748589916160,1586156748589927996,1000000,50,15612000000,0,136
1586156748590089984,1586156748590081024,1586156748590110866,300000,50,15612000000,0,137
1586156750487534592,1586156750487524864,1586156750487543983,700000,49,15613999999,0,137
1586156750494146816,1586156750494137600,1586156750494158770,700000,49,15613999999,0,138
1586156751613532672,1586156751613512704,1586156751613555439,830000,50,15606000000,0,138
1586156751613536768,1586156751613524992,1586156751613609405,520000,49,15613999999,0,139
1586156751620682240,1586156751620670720,1586156751620694560,500000,49,15612000000,0,139
1586156751621051392,1586156751621039616,1586156751621055560,710000,50,15610000000,0,140
1586156751621056512,1586156751621048064,1586156751621105109,500000,49,15612000000,0,140
1586156752108201984,1586156752108192256,1586156752108205904,140000,50,15608000000,0,141
1586156752108260352,1586156752108249856,1586156752108265645,220000,50,15608000000,0,141
1586156752250088960,1586156752250078464,1586156752250092753,1000000,49,15612000000,0,141
1586156752250096640,1586156752250087936,1586156752250134930,220000,49,15612000000,0,142
1586156753023603712,1586156753023595008,1586156753023607315,470000,49,15613999999,0,142
1586156753080063488,1586156753080052736,1586156753080066749,520000,49,15616000000,0,142
1586156754198428160,1586156754198409984,1586156754198432487,1000000,49,15619999999,0,143
1586156754198495744,1586156754198486016,1586156754198501904,1550000,49,15619999999,0,144
1586156754366841344,1586156754366829824,1586156754366844047,1000000,50,15608000000,0,145
1586156755277023232,1586156755277011456,1586156755277027386,130000,49,15613999999,0,146
1586156757036822784,1586156757036811264,1586156757036826517,90000,49,15626000000,0,146
1586156757036890880,1586156757036880640,1586156757036906350,330000,49,15626000000,0,146
1586156759227410944,1586156759227393536,1586156759227473424,370000,49,15622000000,0,146
1586156759227413760,1586156759227394304,1586156759227522579,500000,49,15622000000,0,146
1586156759227446784,1586156759227433472,1586156759227611437,200000,49,15622000000,0,147
1586156759227540480,1586156759227530496,1586156759227702551,18930000,49,15622000000,0,147
1586156759682340352,1586156759682324992,1586156759682344892,3000000,49,15634000000,0,148
1586156759692921856,1586156759692911360,1586156759692955254,700000,49,15632000000,0,149
1586156761012761344,1586156761012752384,1586156761012765668,1000000,49,15636000000,0,149
1586156763331573248,1586156763331562240,1586156763331576342,700000,49,15638000000,0,150
1586156763920432128,1586156763920422912,1586156763920436225,500000,50,15626000000,0,150
1586156763920446720,1586156763920437760,1586156763920485536,1050000,50,15626000000,0,151
1586156763925590528,1586156763925581056,1586156763925593516,700000,50,15624000000,0,152
1586156765450924800,1586156765450910208,1586156765450928065,1000000,50,15619999999,0,152
1586156767309966080,1586156767309949184,1586156767310094485,1000000,49,15610000000,0,153
1586156767309969408,1586156767309954304,1586156767310130679,720000,49,15610000000,0,154
1586156769387343872,1586156769387332864,1586156769387348232,330000,50,15606000000,0,154
1586156771480478976,1586156771480468480,1586156771480483022,3460000,50,15597999999,0,155
1586156771488490240,1586156771488480000,1586156771488493944,479999,50,15597999999,0,156
1586156771493453056,1586156771493443840,1586156771493456608,330000,50,15596000000,0,156
1586156771928059136,1586156771928048384,1586156771928062144,700000,49,15596000000,0,156
1586156771932508672,1586156771932498944,1586156771932512607,899999,50,15588000000,0,157
1586156771937509888,1586156771937500672,1586156771937513758,1799999,49,15596000000,0,157
1586156774082258432,1586156774082242560,1586156774082263261,350000,50,15580000000,0,158
1586156775123207680,1586156775123193856,1586156775123217206,10520000,50,15568000000,0,158
1586156775125985536,1586156775125974784,1586156775125989618,1400000,49,15586000000,0,159
1586156775126049792,1586156775126039552,1586156775126055460,0,49,15586000000,0,160
1586156775145784320,1586156775145772544,1586156775145788372,2180000,49,15582000000,0,160
1586156775149810688,1586156775149800960,1586156775149814527,700000,50,15574000000,0,161
1586156787547529984,1586156787547520256,1586156787547533997,500000,50,15560000000,0,161
1586156787547545344,1586156787547535872,1586156787547584043,1000000,50,15560000000,0,162
1586156787547559680,1586156787547550720,1586156787547631333,500000,50,15560000000,0,163
1586156787547562240,1586156787547552768,1586156787547663820,1000000,50,15560000000,0,163
1586156787547580416,1586156787547571456,1586156787547717407,1000000,50,15560000000,0,164
1586156788489080064,1586156788489068800,1586156788489082940,1390000,50,15556000000,0,165
1586156788495952640,1586156788495943424,1586156788495956151,300000,50,15550000000,0,166
1586156788496188160,1586156788496178688,1586156788496193808,2700000,50,15550000000,0,166
1586156788505938432,1586156788505927168,1586156788505943202,800000,49,15560000000,0,167
